Quest 3S Firmware Archive

Incremental ▲	Version	Runtime Version	Build Date	Fingerprint	SHA-256
3697600027800610	206.0.0.133.1332.1026601864	206.0.0.477.427.1026630909	Sun Jul 26 16:46:19 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/76e5-0748-0004-0000.twshared78347.14.pnb1.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	7bb6ad6ae3df239a96eeb6920bbd07d7e1cb3144565738b83dcfc45dec864e74
3697600024300610	206.0.0.116.1332.1022351547	206.0.0.417.427.1022545498	Mon Jul 20 17:01:43 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/2aa6-5e5d-0004-0000.twshared32086.06.gtn3.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	acc2e8dab50179742e93adb6d1fd36bdc9a537c986942c1d17ad1fc6c810c472
3697600023700610	206.0.0.114.1332.1021746682	206.0.0.407.427.1021913530	Sun Jul 19 16:53:49 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/bee8-05ad-0004-0000.twshared55343.01.rva6.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	d96607261c55a79c2ebea2e08c971b78ea7198ae0e4a9fc06fc844411ffad3da
3697600020700610	206.0.0.101.1332.1018412879	206.0.0.355.427.1018619308	Tue Jul 14 16:47:49 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/1636-0fde-0004-0000.twshared33051.07.vll2.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	9258cc9d8c2f0dac6d5cb05de422aa5a5a0fb539b15e7d121d370b83f2a124b7
3697600019500610	206.0.0.96.1332.1017239975	206.0.0.336.427.1017280968	Sun Jul 12 20:50:17 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/5c63-4fff-0004-0000.twshared47220.03.rva2.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	c7408ef7ac0bdb545daf92b6f2afbd1a97c6a0431e0d5af62134ff61fd24f05b
3697600015800610	206.0.0.79.1332.1012196207	206.0.0.272.427.1012319481	Mon Jul 6 16:58:48 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/243d-9a9b-0004-0000.twshared28732.04.gtn2.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	c4bc4460496f48d960c60844af97bc153b1f891d591c9e352b93e016b0c5aed0
3594280027800610	205.0.0.112.1674.1009731786	205.0.0.286.540.1009732165	Thu Jul 2 23:04:55 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/1b95-d26f-0004-0000.twshared37495.02.cco3.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	c29c3ebd8e713b476383151f1e751f808a15977d3c6be6c560ffa2951f0b62cc
3296320030600610	203.0.0.91.1295.940201210	203.0.0.354.432.940115007	Tue Apr 14 09:12:35 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/6149-ca43-0004-0000.twshared92600.03.prn6.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	6490f96155655a9d6c91ba9f467e59f6f8bcf98d08f8b5402342a9aae5246e75
3296320027400610	203.0.0.79.1295.933360486	203.0.0.299.432.933371092	Thu Apr 9 01:32:30 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/45f0-00fd-0004-0000.twshared9788.01.snb3.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	25e5365b0368b0f8890f954bf380437579b632035ff7b383e0106684a0ec960e
3296320026500610	203.0.0.75.1295.931013760	203.0.0.285.432.931302167	Tue Apr 7 17:27:34 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/9f87-e597-0004-0000.twshared81435.35.frc1.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	059ba83f73bf97a44495825ef1b0820ce40d06e8661f6015f94e4ebde3747bdf
3296320020900610	203.0.0.51.1295.922810763	203.0.0.191.432.923019144	Sun Mar 29 17:17:28 PDT 2026	oculus/panther/panther:14/UP1A.231005.007.A1/f406-47b9-0004-0000.twshared32521.05.odn1.tw.fbinfra.net:user/abl_signing_keys:release,amss_signing_keys:release,release-keys	b215182099fb5b2a9b645813217b32a5e6a7e39ab1f99a6fcd8da991b776fb81
